barcode,product_name,categories,ingredients_text,energy_kcal_100g,fat_100g,sugars_100g,proteins_100g,salt_100g,allergens
8901000000048,Food Product 48,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",497,24.94,9.95,16.12,1.83,nuts
8901000000049,Food Product 49,Beverages,"Oats, Honey, Almonds",269,3.97,39.35,18.83,3.8,none
8901000000050,Food Product 50,Beverages,"Rice, Spices, Vegetable Oil",441,16.31,2.98,2.77,0.95,gluten
8901000000051,Food Product 51,Snacks,"Rice, Spices, Vegetable Oil",550,15.97,22.41,17.72,0.55,milk
8901000000052,Food Product 52,Beverages,"Milk, Cocoa, Sugar",502,5.34,6.61,21.2,2.05,none
8901000000053,Food Product 53,Dairy,"Rice, Spices, Vegetable Oil",249,13.98,9.38,2.44,0.14,milk
8901000000054,Food Product 54,Snacks,"Oats, Honey, Almonds",296,26.64,35.33,7.01,2.45,gluten
8901000000055,Food Product 55,Beverages,"Milk, Cocoa, Sugar",113,11.86,25.78,0.66,0.23,milk
8901000000056,Food Product 56,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",487,4.42,11.5,24.86,2.17,none
8901000000057,Food Product 57,Frozen Foods,"Water, Fruit Concentrate, Sugar",489,24.28,17.16,19.1,0.42,milk
8901000000058,Food Product 58,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",336,17.15,10.0,10.46,1.59,nuts
8901000000059,Food Product 59,Snacks,"Oats, Honey, Almonds",202,23.99,9.81,16.77,4.8,milk
8901000000060,Food Product 60,Snacks,"Milk, Cocoa, Sugar",178,15.32,5.71,23.03,4.64,milk
8901000000061,Food Product 61,Frozen Foods,"Rice, Spices, Vegetable Oil",223,0.27,24.55,11.36,3.0,nuts
8901000000062,Food Product 62,Dairy,"Rice, Spices, Vegetable Oil",506,28.83,15.09,1.5,1.5,nuts
8901000000063,Food Product 63,Frozen Foods,"Oats, Honey, Almonds",524,26.93,21.04,8.64,3.25,none
8901000000064,Food Product 64,Dairy,"Water, Fruit Concentrate, Sugar",209,18.23,22.76,0.08,3.36,nuts
8901000000065,Food Product 65,Cereals,"Oats, Honey, Almonds",54,2.85,2.45,17.52,4.05,nuts
8901000000066,Food Product 66,Dairy,"Oats, Honey, Almonds",343,15.7,8.61,12.17,0.2,none
8901000000067,Food Product 67,Dairy,"Milk, Cocoa, Sugar",207,12.7,16.89,17.67,2.73,milk
8901000000068,Food Product 68,Dairy,"Water, Fruit Concentrate, Sugar",491,6.39,4.59,7.87,0.02,milk
8901000000069,Food Product 69,Snacks,"Water, Fruit Concentrate, Sugar",328,11.06,38.59,13.69,4.46,nuts
8901000000070,Food Product 70,Dairy,"Milk, Cocoa, Sugar",387,15.54,6.58,13.71,4.48,none
8901000000071,Food Product 71,Snacks,"Milk, Cocoa, Sugar",352,26.13,21.28,5.49,3.5,gluten
8901000000072,Food Product 72,Snacks,"Rice, Spices, Vegetable Oil",159,27.87,29.03,2.75,0.15,milk
8901000000073,Food Product 73,Beverages,"Oats, Honey, Almonds",335,25.66,19.75,13.51,2.14,milk
8901000000074,Food Product 74,Beverages,"Water, Fruit Concentrate, Sugar",355,29.94,38.5,24.58,1.05,nuts
8901000000075,Food Product 75,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",368,13.97,23.58,17.65,3.91,milk
8901000000076,Food Product 76,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",95,21.91,36.1,1.98,1.56,milk
8901000000077,Food Product 77,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",106,20.58,32.02,2.44,2.98,nuts
8901000000078,Food Product 78,Snacks,"Water, Fruit Concentrate, Sugar",201,7.36,31.98,21.4,3.32,nuts
8901000000079,Food Product 79,Snacks,"Water, Fruit Concentrate, Sugar",486,19.62,40.0,0.66,0.96,milk
8901000000080,Food Product 80,Dairy,"Water, Fruit Concentrate, Sugar",543,6.93,8.24,19.14,2.25,none
8901000000081,Food Product 81,Cereals,"Oats, Honey, Almonds",240,8.33,19.57,6.86,3.81,none
8901000000082,Food Product 82,Frozen Foods,"Oats, Honey, Almonds",219,14.51,10.53,9.93,3.72,gluten
8901000000083,Food Product 83,Frozen Foods,"Rice, Spices, Vegetable Oil",452,7.34,10.53,24.64,3.38,gluten
8901000000084,Food Product 84,Cereals,"Milk, Cocoa, Sugar",407,22.72,17.85,13.99,3.88,gluten
8901000000085,Food Product 85,Cereals,"Water, Fruit Concentrate, Sugar",267,4.86,23.52,6.76,1.94,nuts
8901000000086,Food Product 86,Beverages,"Oats, Honey, Almonds",176,15.6,35.51,9.65,4.88,milk
8901000000087,Food Product 87,Beverages,"Oats, Honey, Almonds",543,1.36,11.0,6.65,4.27,none
8901000000088,Food Product 88,Cereals,"Rice, Spices, Vegetable Oil",385,23.66,23.1,17.49,3.75,none
8901000000089,Food Product 89,Dairy,"Water, Fruit Concentrate, Sugar",349,4.6,4.07,0.47,2.65,nuts
8901000000090,Food Product 90,Dairy,"Water, Fruit Concentrate, Sugar",343,17.97,26.94,10.71,3.4,gluten
8901000000091,Food Product 91,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",128,12.3,21.03,11.19,3.6,none
8901000000092,Food Product 92,Snacks,"Milk, Cocoa, Sugar",410,0.63,10.65,23.51,1.82,none
8901000000093,Food Product 93,Snacks,"Oats, Honey, Almonds",269,8.43,30.0,2.94,1.84,gluten
8901000000094,Food Product 94,Beverages,"Milk, Cocoa, Sugar",92,5.7,6.27,15.43,0.1,milk
8901000000095,Food Product 95,Snacks,"Rice, Spices, Vegetable Oil",478,5.69,39.65,16.18,1.65,none
8901000000096,Food Product 96,Cereals,"Oats, Honey, Almonds",113,16.46,36.09,5.68,0.37,milk
8901000000097,Food Product 97,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",445,13.05,12.41,18.62,1.35,gluten
8901000000098,Food Product 98,Dairy,"Milk, Cocoa, Sugar",331,20.56,17.84,12.76,0.83,nuts
8901000000099,Food Product 99,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",326,17.37,34.65,18.66,2.47,milk
8901000000100,Food Product 100,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",415,19.28,2.81,23.38,3.8,none
8901000000101,Food Product 101,Snacks,"Milk, Cocoa, Sugar",397,1.39,0.22,12.53,3.3,nuts
8901000000102,Food Product 102,Frozen Foods,"Water, Fruit Concentrate, Sugar",441,21.95,0.67,13.49,3.95,nuts
8901000000103,Food Product 103,Frozen Foods,"Water, Fruit Concentrate, Sugar",484,1.52,7.32,6.07,1.1,nuts
8901000000104,Food Product 104,Dairy,"Rice, Spices, Vegetable Oil",404,19.41,27.66,6.73,1.66,none
8901000000105,Food Product 105,Cereals,"Milk, Cocoa, Sugar",204,24.85,39.45,1.24,4.8,gluten
8901000000106,Food Product 106,Beverages,"Milk, Cocoa, Sugar",136,28.24,39.62,23.19,3.0,gluten
8901000000107,Food Product 107,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",486,15.02,13.27,1.51,4.86,nuts
8901000000108,Food Product 108,Snacks,"Milk, Cocoa, Sugar",486,0.66,20.62,15.94,4.51,none
8901000000109,Food Product 109,Snacks,"Milk, Cocoa, Sugar",549,24.2,14.61,3.58,1.9,milk
8901000000110,Food Product 110,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",85,8.92,5.56,17.95,4.72,milk
8901000000111,Food Product 111,Frozen Foods,"Milk, Cocoa, Sugar",462,6.11,24.11,6.69,4.89,milk
8901000000112,Food Product 112,Cereals,"Rice, Spices, Vegetable Oil",283,21.62,18.97,19.92,4.84,nuts
8901000000113,Food Product 113,Frozen Foods,"Rice, Spices, Vegetable Oil",388,25.01,32.25,14.62,2.81,none
8901000000114,Food Product 114,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",78,2.25,35.92,20.61,3.37,gluten
8901000000115,Food Product 115,Snacks,"Rice, Spices, Vegetable Oil",533,6.08,25.18,14.14,0.6,none
8901000000116,Food Product 116,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",243,27.98,8.65,1.11,0.41,gluten
8901000000117,Food Product 117,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",522,7.11,21.37,19.7,4.37,gluten
8901000000118,Food Product 118,Frozen Foods,"Water, Fruit Concentrate, Sugar",416,17.34,4.18,13.68,0.54,gluten
8901000000119,Food Product 119,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",307,19.89,35.85,18.82,4.89,milk
8901000000120,Food Product 120,Dairy,"Oats, Honey, Almonds",103,6.62,7.41,16.48,2.39,none
8901000000121,Food Product 121,Dairy,"Water, Fruit Concentrate, Sugar",529,19.5,12.95,2.63,2.37,milk
8901000000122,Food Product 122,Snacks,"Oats, Honey, Almonds",196,13.05,26.45,12.77,3.96,milk
8901000000123,Food Product 123,Beverages,"Milk, Cocoa, Sugar",546,16.33,28.71,21.47,2.0,milk
8901000000124,Food Product 124,Frozen Foods,"Oats, Honey, Almonds",270,12.93,9.07,0.91,0.19,nuts
8901000000125,Food Product 125,Frozen Foods,"Rice, Spices, Vegetable Oil",429,14.03,18.85,0.01,2.47,nuts
8901000000126,Food Product 126,Cereals,"Milk, Cocoa, Sugar",407,3.4,37.49,17.74,4.33,gluten
8901000000127,Food Product 127,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",301,4.91,11.59,8.01,1.9,gluten
8901000000128,Food Product 128,Beverages,"Oats, Honey, Almonds",414,0.45,28.88,1.95,4.24,nuts
8901000000129,Food Product 129,Frozen Foods,"Milk, Cocoa, Sugar",194,29.52,37.81,6.4,1.98,none
8901000000130,Food Product 130,Dairy,"Milk, Cocoa, Sugar",451,12.43,7.66,22.27,1.14,milk
8901000000131,Food Product 131,Dairy,"Milk, Cocoa, Sugar",373,12.15,21.3,22.25,0.44,milk
8901000000132,Food Product 132,Cereals,"Water, Fruit Concentrate, Sugar",385,12.98,30.05,0.72,4.29,milk
8901000000133,Food Product 133,Frozen Foods,"Oats, Honey, Almonds",226,9.56,23.48,12.18,3.27,gluten
8901000000134,Food Product 134,Beverages,"Milk, Cocoa, Sugar",419,10.56,25.15,5.87,2.22,nuts
8901000000135,Food Product 135,Dairy,"Water, Fruit Concentrate, Sugar",346,2.84,23.77,18.55,0.82,gluten
8901000000136,Food Product 136,Beverages,"Oats, Honey, Almonds",76,8.19,38.18,5.31,4.47,gluten
8901000000137,Food Product 137,Beverages,"Water, Fruit Concentrate, Sugar",107,28.39,36.32,20.91,2.28,nuts
8901000000138,Food Product 138,Dairy,"Water, Fruit Concentrate, Sugar",94,15.01,6.8,13.94,1.39,nuts
8901000000139,Food Product 139,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",363,19.26,26.7,12.73,1.73,nuts
8901000000140,Food Product 140,Frozen Foods,"Milk, Cocoa, Sugar",277,7.67,23.67,20.99,1.78,gluten
8901000000141,Food Product 141,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",239,26.14,20.55,1.28,0.9,gluten
8901000000142,Food Product 142,Beverages,"Oats, Honey, Almonds",196,12.1,21.55,19.21,4.08,milk
8901000000143,Food Product 143,Beverages,"Water, Fruit Concentrate, Sugar",485,17.6,17.39,22.55,0.96,milk
8901000000144,Food Product 144,Snacks,"Rice, Spices, Vegetable Oil",58,2.33,34.26,18.46,4.73,milk
8901000000145,Food Product 145,Snacks,"Oats, Honey, Almonds",338,3.56,15.19,13.66,4.06,gluten
8901000000146,Food Product 146,Frozen Foods,"Water, Fruit Concentrate, Sugar",99,11.32,29.08,1.16,1.1,gluten
8901000000147,Food Product 147,Snacks,"Oats, Honey, Almonds",258,17.1,37.82,24.31,2.91,none
8901000000148,Food Product 148,Snacks,"Rice, Spices, Vegetable Oil",140,1.05,17.46,21.76,0.18,nuts
8901000000149,Food Product 149,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",125,3.04,18.32,8.4,3.31,gluten
8901000000150,Food Product 150,Beverages,"Oats, Honey, Almonds",253,13.08,36.84,4.18,2.84,gluten
8901000000151,Food Product 151,Cereals,"Oats, Honey, Almonds",314,28.67,39.35,12.43,2.67,none
8901000000152,Food Product 152,Dairy,"Oats, Honey, Almonds",392,17.99,31.66,14.92,0.71,nuts
8901000000153,Food Product 153,Beverages,"Rice, Spices, Vegetable Oil",223,22.44,28.96,3.75,0.63,milk
8901000000154,Food Product 154,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",178,5.47,0.91,12.42,2.21,nuts
8901000000155,Food Product 155,Frozen Foods,"Water, Fruit Concentrate, Sugar",318,15.4,9.49,6.08,0.3,milk
8901000000156,Food Product 156,Dairy,"Oats, Honey, Almonds",375,0.05,21.81,12.35,0.51,nuts
8901000000157,Food Product 157,Cereals,"Rice, Spices, Vegetable Oil",234,18.64,21.19,1.27,4.56,nuts
8901000000158,Food Product 158,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",103,18.13,19.6,15.27,0.76,none
8901000000159,Food Product 159,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",480,25.77,37.87,14.77,4.02,none
8901000000160,Food Product 160,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",529,11.1,29.63,17.78,1.96,gluten
8901000000161,Food Product 161,Dairy,"Milk, Cocoa, Sugar",329,20.94,11.76,17.07,1.67,nuts
8901000000162,Food Product 162,Cereals,"Oats, Honey, Almonds",496,22.4,5.73,17.96,4.64,gluten
8901000000163,Food Product 163,Dairy,"Water, Fruit Concentrate, Sugar",550,18.44,24.73,9.54,2.98,milk
8901000000164,Food Product 164,Snacks,"Oats, Honey, Almonds",288,22.75,31.09,11.73,0.55,nuts
8901000000165,Food Product 165,Frozen Foods,"Oats, Honey, Almonds",407,28.34,17.02,10.91,2.39,none
8901000000166,Food Product 166,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",419,8.41,33.81,17.62,2.0,gluten
8901000000167,Food Product 167,Snacks,"Water, Fruit Concentrate, Sugar",198,29.03,23.6,10.94,2.84,gluten
8901000000168,Food Product 168,Beverages,"Oats, Honey, Almonds",399,25.53,38.28,10.78,2.51,gluten
8901000000169,Food Product 169,Dairy,"Rice, Spices, Vegetable Oil",356,0.93,2.35,19.4,2.08,milk
8901000000170,Food Product 170,Dairy,"Milk, Cocoa, Sugar",254,4.44,0.35,13.41,3.48,none
8901000000171,Food Product 171,Beverages,"Rice, Spices, Vegetable Oil",241,22.22,19.32,7.1,4.37,none
8901000000172,Food Product 172,Cereals,"Oats, Honey, Almonds",271,22.2,2.31,20.95,4.03,gluten
8901000000173,Food Product 173,Cereals,"Oats, Honey, Almonds",189,7.64,19.44,19.79,2.4,none
8901000000174,Food Product 174,Beverages,"Rice, Spices, Vegetable Oil",359,11.57,37.99,9.54,2.82,none
8901000000175,Food Product 175,Dairy,"Oats, Honey, Almonds",155,15.08,13.62,21.9,3.98,nuts
8901000000176,Food Product 176,Snacks,"Oats, Honey, Almonds",287,17.29,8.64,17.3,3.41,gluten
8901000000177,Food Product 177,Frozen Foods,"Oats, Honey, Almonds",526,9.1,25.31,12.39,4.83,none
8901000000178,Food Product 178,Frozen Foods,"Oats, Honey, Almonds",115,1.04,15.64,4.82,2.77,nuts
8901000000179,Food Product 179,Frozen Foods,"Oats, Honey, Almonds",81,18.34,4.67,12.51,1.03,none
8901000000180,Food Product 180,Snacks,"Milk, Cocoa, Sugar",534,13.16,19.06,19.83,2.13,none
8901000000181,Food Product 181,Frozen Foods,"Water, Fruit Concentrate, Sugar",392,29.49,31.5,3.61,0.86,nuts
8901000000182,Food Product 182,Frozen Foods,"Water, Fruit Concentrate, Sugar",272,9.24,37.19,18.68,4.36,gluten
8901000000183,Food Product 183,Frozen Foods,"Milk, Cocoa, Sugar",252,7.14,26.73,2.61,1.84,none
8901000000184,Food Product 184,Snacks,"Water, Fruit Concentrate, Sugar",298,16.05,16.71,1.91,4.98,nuts
8901000000185,Food Product 185,Frozen Foods,"Rice, Spices, Vegetable Oil",168,5.23,30.8,23.38,0.53,gluten
8901000000186,Food Product 186,Snacks,"Oats, Honey, Almonds",179,0.9,1.84,14.51,2.47,gluten
8901000000187,Food Product 187,Frozen Foods,"Rice, Spices, Vegetable Oil",517,7.18,12.18,4.14,3.12,none
8901000000188,Food Product 188,Dairy,"Rice, Spices, Vegetable Oil",426,9.67,12.05,21.53,0.13,none
8901000000189,Food Product 189,Cereals,"Sugar, Wheat Flour, Palm Oil, Salt",156,12.17,10.62,9.79,1.68,milk
8901000000190,Food Product 190,Frozen Foods,"Milk, Cocoa, Sugar",220,17.26,31.89,19.98,3.28,gluten
8901000000191,Food Product 191,Cereals,"Water, Fruit Concentrate, Sugar",124,9.1,19.1,14.88,0.78,milk
8901000000192,Food Product 192,Dairy,"Oats, Honey, Almonds",334,11.99,18.77,19.26,4.92,nuts
8901000000193,Food Product 193,Dairy,"Rice, Spices, Vegetable Oil",312,0.95,26.35,4.21,1.47,none
8901000000194,Food Product 194,Beverages,"Water, Fruit Concentrate, Sugar",175,22.37,0.6,9.12,0.03,milk
8901000000195,Food Product 195,Beverages,"Oats, Honey, Almonds",63,19.32,30.43,7.59,4.64,milk
8901000000196,Food Product 196,Frozen Foods,"Milk, Cocoa, Sugar",241,15.66,12.57,2.0,1.55,none
8901000000197,Food Product 197,Dairy,"Rice, Spices, Vegetable Oil",421,5.12,6.26,0.83,0.25,none
8901000000198,Food Product 198,Frozen Foods,"Water, Fruit Concentrate, Sugar",206,18.79,28.66,7.78,3.13,nuts
8901000000199,Food Product 199,Beverages,"Rice, Spices, Vegetable Oil",395,1.0,18.82,13.37,1.11,nuts
8901000000200,Food Product 200,Frozen Foods,"Rice, Spices, Vegetable Oil",86,1.35,25.69,6.27,2.55,milk
8901000000201,Food Product 201,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",457,3.14,2.06,23.17,1.89,milk
8901000000202,Food Product 202,Snacks,"Oats, Honey, Almonds",363,23.72,11.59,4.37,3.44,gluten
8901000000203,Food Product 203,Beverages,"Oats, Honey, Almonds",74,3.89,0.17,5.87,0.44,none
8901000000204,Food Product 204,Beverages,"Rice, Spices, Vegetable Oil",518,5.83,38.54,21.28,4.73,nuts
8901000000205,Food Product 205,Snacks,"Oats, Honey, Almonds",224,11.2,7.73,23.64,0.46,nuts
8901000000206,Food Product 206,Dairy,"Oats, Honey, Almonds",119,1.08,3.39,12.41,4.84,nuts
8901000000207,Food Product 207,Beverages,"Water, Fruit Concentrate, Sugar",178,23.45,33.47,20.18,4.42,milk
8901000000208,Food Product 208,Cereals,"Oats, Honey, Almonds",428,19.43,15.1,12.49,0.91,nuts
8901000000209,Food Product 209,Beverages,"Water, Fruit Concentrate, Sugar",532,27.79,6.63,6.23,4.68,none
8901000000210,Food Product 210,Snacks,"Sugar, Wheat Flour, Palm Oil, Salt",451,9.31,22.73,9.71,1.38,nuts
8901000000211,Food Product 211,Snacks,"Water, Fruit Concentrate, Sugar",421,25.95,1.56,3.03,3.94,gluten
8901000000212,Food Product 212,Dairy,"Milk, Cocoa, Sugar",453,20.07,20.95,15.76,3.49,nuts
8901000000213,Food Product 213,Snacks,"Water, Fruit Concentrate, Sugar",406,22.29,37.67,18.42,2.93,gluten
8901000000214,Food Product 214,Dairy,"Water, Fruit Concentrate, Sugar",194,12.32,11.89,9.73,1.36,milk
8901000000215,Food Product 215,Beverages,"Milk, Cocoa, Sugar",293,19.07,25.97,14.85,2.77,none
8901000000216,Food Product 216,Cereals,"Oats, Honey, Almonds",395,11.82,25.38,8.55,3.09,milk
8901000000217,Food Product 217,Snacks,"Water, Fruit Concentrate, Sugar",515,17.33,0.79,23.72,4.54,nuts
8901000000218,Food Product 218,Beverages,"Water, Fruit Concentrate, Sugar",367,7.74,0.26,16.36,0.64,nuts
8901000000219,Food Product 219,Snacks,"Oats, Honey, Almonds",334,4.96,18.81,1.71,3.8,milk
8901000000220,Food Product 220,Dairy,"Oats, Honey, Almonds",206,25.41,24.95,9.31,0.56,gluten
8901000000221,Food Product 221,Beverages,"Sugar, Wheat Flour, Palm Oil, Salt",73,9.95,4.75,23.65,3.13,none
8901000000222,Food Product 222,Frozen Foods,"Water, Fruit Concentrate, Sugar",102,17.54,17.31,21.59,1.37,milk
8901000000223,Food Product 223,Dairy,"Milk, Cocoa, Sugar",483,28.24,9.54,24.39,4.42,nuts
8901000000224,Food Product 224,Beverages,"Rice, Spices, Vegetable Oil",505,22.17,0.21,1.74,3.88,gluten
8901000000225,Food Product 225,Dairy,"Water, Fruit Concentrate, Sugar",70,18.63,14.6,17.55,0.31,gluten
8901000000226,Food Product 226,Snacks,"Water, Fruit Concentrate, Sugar",138,12.51,35.99,11.69,4.87,none
8901000000227,Food Product 227,Cereals,"Water, Fruit Concentrate, Sugar",242,9.05,34.93,18.04,0.21,milk
8901000000228,Food Product 228,Cereals,"Water, Fruit Concentrate, Sugar",367,8.06,35.91,7.08,0.68,gluten
8901000000229,Food Product 229,Snacks,"Oats, Honey, Almonds",437,24.14,34.26,20.76,1.4,milk
8901000000230,Food Product 230,Frozen Foods,"Oats, Honey, Almonds",158,27.92,13.98,8.88,3.86,none
8901000000231,Food Product 231,Beverages,"Milk, Cocoa, Sugar",395,13.21,32.03,4.6,0.49,milk
8901000000232,Food Product 232,Dairy,"Sugar, Wheat Flour, Palm Oil, Salt",222,17.35,27.64,13.71,0.68,none
8901000000233,Food Product 233,Cereals,"Milk, Cocoa, Sugar",521,28.7,36.26,15.34,1.55,nuts
8901000000234,Food Product 234,Cereals,"Milk, Cocoa, Sugar",341,23.49,3.41,14.53,0.73,milk
8901000000235,Food Product 235,Beverages,"Milk, Cocoa, Sugar",544,1.97,26.89,6.11,1.89,nuts
8901000000236,Food Product 236,Beverages,"Milk, Cocoa, Sugar",465,7.76,14.6,24.02,2.33,milk
8901000000237,Food Product 237,Frozen Foods,"Milk, Cocoa, Sugar",520,24.12,28.47,12.4,4.24,none
8901000000238,Food Product 238,Frozen Foods,"Sugar, Wheat Flour, Palm Oil, Salt",373,7.77,38.16,5.24,0.97,gluten
